NAME,DriveAlone,Carpool,Bus,Subway,LongDistanceRail,LightRail,Ferry,Taxi,Motorcycle,Bicycle,Walked,Other,WorkFromHome
Alabama,0.8516683520601006,0.08671138348151987,0.0038120506723923185,5.9512038769984566e-05,3.842509589873019e-05,0.00023617376015804898,8.903375878974069e-06,0.0006012121711959858,0.0010698109016683052,0.0013945498218856226,0.012281035528218546,0.008173299056898195,0.03394529203541482
Alaska,0.6995920654296177,0.11999336784720892,0.008999145252722184,0.0,0.0,0.0,0.0006432044732727102,0.0074125742186494994,0.000783280114118767,0.006643587537270126,0.0707010357021363,0.04194836640357222,0.04328337302143157
Arizona,0.7563694520238553,0.1064875687488173,0.014596114051312102,0.0002798786480365765,0.00025729302104125843,0.0016411204912679083,1.8312670536744375e-05,0.001884373798230996,0.003209600722740064,0.007690100780730187,0.019061048339345993,0.012713266308959168,0.07579187039512639
Arkansas,0.824055168045411,0.1070921208300787,0.003693146780316007,0.00019794231351930776,0.0,5.2530844741662444e-05,8.450614154093523e-05,4.948557837982694e-05,0.0009851436680537854,0.0015089294822894922,0.019307750050627553,0.007803495052203478,0.03516978121283824
California,0.7350623865104637,0.09830476911387893,0.030481065096244573,0.012297592808553394,0.0053064425030929915,0.0027105349522545106,0.00104034911224628,0.0031213676741438223,0.002766220271153868,0.008577621303633357,0.0256136983962468,0.011270484309046366,0.06344746794904137
Colorado,0.7419089842914691,0.085809526592403,0.021793312020273528,0.0012651032071860518,0.000876606946711595,0.007897763722551245,9.264141595929356e-05,0.0011495504733013415,0.002324336601129229,0.011279009381022522,0.026934412533885507,0.00743356049849715,0.09123519231561038
Connecticut,0.783296506549489,0.07546066882783938,0.019437749930828,0.002036468258541281,0.022784171664587332,0.0007521237335399864,0.00016924175795422343,0.0017425220473576296,0.0005338909403884878,0.0035112097612410766,0.028068522870184333,0.006428403220715191,0.05577852043733406
Delaware,0.8066142567368029,0.08544384973712403,0.013157809647192218,0.0033411869189298718,0.0058826445817804,0.0011640264104658907,0.0,0.000795418047151692,0.0007221274953816175,0.002319430403076479,0.0226424692880254,0.006283587012051985,0.05163319372201756
District of Columbia,0.32962749884678577,0.05517287847454377,0.11995242019498391,0.2172707436029004,0.0026847863832610308,0.001614499919663728,0.0,0.010715822099212704,0.002464509508186525,0.04024069783714024,0.13425486811893914,0.012397700827722753,0.07360357418666003
Florida,0.7814383354932628,0.09141812261129131,0.013906767130861293,0.0009497264793826068,0.0006261174781830216,0.0003668244979115046,6.320012782048323e-05,0.0030692132699979458,0.00257395961988623,0.0059504492737818375,0.015719281872062854,0.014091092383268704,0.0698269097622894
Georgia,0.7836798409127349,0.09257152422662271,0.013328197148812544,0.0052657320020934656,0.0008085456967479683,0.00032833933507250997,9.156391776592108e-05,0.003913449912620997,0.0013978623657171785,0.0020006917714492007,0.014926128691674641,0.012246976525149321,0.0694411474935386
Hawaii,0.6927256929607156,0.13255989516565536,0.05301541178816625,0.0005184742044839472,2.991197333561234e-05,0.0,9.543343873742986e-05,0.001411560265504373,0.006787169187818705,0.005808620345839387,0.04558299860410791,0.01376520525311227,0.04769962681252315
Idaho,0.7829318252501457,0.09214845849256027,0.0073009052550550456,0.0,0.0001870804839307397,9.29444442458452e-05,0.00011320156670968327,0.0011272492853406353,0.0013274373191009175,0.007560673060767792,0.026890734273025498,0.006518027051599658,0.07380146351751823
Illinois,0.7241850473516487,0.07611494876422842,0.036343947625906425,0.03404828593333459,0.02468980604688636,0.00131544444922573,0.00010234099794882854,0.003955197528601891,0.0006132401530634529,0.005699829501509087,0.030199619742755025,0.00847592980019975,0.05425636210469178
Indiana,0.8163394237591673,0.09498585579416695,0.007052273142740289,0.0004613520807319665,0.0012647677592665463,0.0002128602279804305,0.0001886926911791589,0.0012749924863747766,0.0009716589154972781,0.004144732561418077,0.022644362302360672,0.007369859363526229,0.04308916891559023
Iowa,0.801966250603207,0.08572304002526707,0.0107907219043916,0.0002894135663238374,4.6557834582530365e-05,0.0,7.864499084886887e-05,0.0009865227652082111,0.0009481440096739631,0.003385509566062107,0.03177068882316265,0.0064394518507053826,0.05757505406056671
Kansas,0.8270571335833317,0.08465894572551294,0.004315577931091636,0.0003266552026574402,0.0,7.80381350957521e-05,0.00026933515652516213,0.00039364369030600615,0.0010959869061677751,0.0027485998024875517,0.022147637101953714,0.005729242201366012,0.051179204563504395
Kentucky,0.819541942185402,0.09040510754731322,0.009765144029794027,3.9522687542752907e-05,5.624382458007144e-05,0.0,1.6721137037318536e-05,0.00097742646499962,0.0006551645511894808,0.0024164576524537003,0.022673861822603936,0.010442603430366598,0.04300980466671734
