NAME,DriveAlone,Carpool,Bus,Subway,LongDistanceRail,LightRail,Ferry,Taxi,Motorcycle,Bicycle,Walked,Other,WorkFromHome
Alabama,0.800209279189096,0.08319376249366371,0.002641533199069342,9.688851347036599e-06,0.0,0.0001849689802616078,2.9506956375066006e-05,0.0004144185962527927,0.0013295746462137952,0.001095280604549092,0.01312971478223646,0.010092259884940486,0.08767001181599463
Alaska,0.6545738086120685,0.11560084133881647,0.007908362885636748,0.0,0.0,0.0,0.0005355487848869798,0.0048476877056868066,0.0008824068061868372,0.005061352246807519,0.07227411218220868,0.04827986170076975,0.09003601773693178
Arizona,0.670512794224715,0.10294958986223426,0.010691046685209482,0.00011176517645468731,0.00011754115456604066,0.0009983778165474264,0.00017125775100162682,0.001615252278839964,0.0021804317370358894,0.005520102281020396,0.016623842602286075,0.013665386613650889,0.17484261181643826
Arkansas,0.7828538888276572,0.09916602373342151,0.003252874830081928,0.0,0.0,3.526948087732834e-05,0.0,0.000945662956023366,0.0013027664499063155,0.0016422352033506006,0.015605275726514567,0.008255997648701274,0.08694000514346596
California,0.6707064139138571,0.10175286641067505,0.020003557977903264,0.0058270188686358575,0.0027127171683893904,0.0015943425366647373,0.0006811246380437591,0.0018742039533183018,0.0021080108697188876,0.007560917251416015,0.02539166674877934,0.013287847909618365,0.14649931175297995
Colorado,0.6600751118355772,0.07887854421269151,0.011597104789395917,0.00036050377782549203,0.0006111094876971336,0.003592015174826863,0.00033382332202166705,0.0015074457529161104,0.0014648840734195325,0.008360193776339009,0.024350680288098104,0.01018907549679644,0.19867950801239498
Connecticut,0.6985852417412926,0.08324411410035365,0.017769549831939638,0.0028261623431179647,0.016507406503743962,0.00010765817501540486,0.0001509378433633063,0.0037361173701325927,0.0003089086328331466,0.0018718456560467378,0.022345292768021517,0.009872092350156321,0.14267467268398323
Delaware,0.7212409384051593,0.08228448206884412,0.01944742274640337,0.0005100897758005409,0.0025564499351885934,0.0006881211093152395,7.001232216870169e-05,0.0024924386692057802,0.001630286930499768,0.002496439373329706,0.020651634687705037,0.009495671238137913,0.13643601273824194
District of Columbia,0.28584203692792226,0.04149046558799451,0.07808467037579714,0.14392868875111456,0.004458256639152358,0.002562845775606297,0.0,0.006635241606223831,0.0012722978011148248,0.0346127573926238,0.1128043216410556,0.015530897543526663,0.2727775199578682
Florida,0.6914987220888325,0.09711578717011464,0.011780493450175589,0.0008673524253192706,0.0005065127234602494,0.00021516668025779322,0.00019002466554058064,0.0036789264905871875,0.0019038249196726754,0.004944878722265862,0.015122968934827943,0.014449972758109147,0.15772536897083658
Georgia,0.7079622307806772,0.0946204444552008,0.008031413970920371,0.002527956418560759,0.00037021231619610817,0.0002577116378831948,0.00022292151215281487,0.004593809210572341,0.0012010156447792028,0.0019546756510905854,0.013870104636975437,0.012300200213392043,0.15208730355159913
Hawaii,0.6417532052476346,0.15837778497539276,0.04089789928370992,0.00019777517262333001,0.0,0.0001748447178264222,3.439568219536174e-05,0.0022500508769465804,0.007814985625471149,0.00853156233787452,0.038799762669792855,0.014439020754927898,0.08672871265560464
Idaho,0.7097162346993542,0.10206959088626881,0.0057069028203396875,0.0004144375768278537,0.0,0.0,0.0,0.00023048356100347997,0.0018968905278831005,0.007913268927786146,0.027592020291210027,0.009154417493377656,0.13530575321594904
Illinois,0.6622894697466413,0.08258706819102761,0.026114998789493186,0.023409339461430426,0.015869680111533592,0.0004925510483888058,8.21988711783144e-05,0.003474668298656755,0.0009415944911344023,0.005901300989790001,0.029428480239198716,0.009098708642890216,0.14030994111863673
Indiana,0.763832885556522,0.0944372838131456,0.0056452558294184715,0.0004281387925226819,0.0006371112983968481,5.2168172198141914e-05,0.00012082628388420225,0.0011369063734215756,0.0007495427039962919,0.003285695397238145,0.01839827521229298,0.007692706679654743,0.10358320388730835
Iowa,0.7621442130481163,0.08213092333419515,0.00697894219035857,1.0440163431546611e-05,0.00016520023312270815,4.1760653726186445e-05,0.0003285580844633787,0.0015285627518305599,0.0017134150572950028,0.0038278552158135313,0.027893046052789153,0.00841415759856589,0.10482292561629206
Kansas,0.7662585608787138,0.08767910482117276,0.004221877394947287,0.0,0.0,0.0,4.062101406299507e-05,0.0005693712137829808,0.0013120587542347407,0.002119062900286243,0.025088215302206805,0.008819499169977279,0.10389162855061514
Kentucky,0.7668179632078874,0.0993306558273571,0.006695865832515601,3.587677008226446e-05,0.0,0.0,8.338924938039849e-05,0.00119023608853999,0.0009943683167395192,0.0021269106804174894,0.01848574819549543,0.0095354637024051,0.09470352212917964
Louisiana,0.7865314067455743,0.08622149267493899,0.0066349830287517585,0.0002707649382755304,6.806384686926177e-05,0.0005628929817727999,0.00032044657832608646,0.0023638524336054563,0.0012186906304401397,0.0035005683579621785,0.018715073807044458,0.012874997019101596,0.08071676695733739
Maine,0.7219430654290503,0.07824838374924183,0.006498061074012643,0.00033201771911013503,0.0003392042498268046,0.0,0.0007186530716669589,0.0017204554535706997,0.0007114665409502893,0.0032253149856413116,0.03340730668951025,0.009819675571257326,0.1430363954661615
