State_Full,Year,Severity,Time_of_Impact(hr),Distance(mi),count,DriveAlone,Carpool,Bus,Subway,LongDistanceRail,LightRail,Taxi,Motorcycle,Bicycle,Walked,Other,WorkFromHome,Ferry
Alabama,2016,3.1818181818181817,6.0,1.9769090909090907,11,0.8611863192464803,0.080385117604743,0.0029812131457813,5.990675002958809e-05,4.3834207338722994e-05,0.0,0.0006993991304267,0.0011810883644044,0.0010276686387189,0.0116282411134667,0.0074050587597549,0.0334021530388551,0.0
Alabama,2017,2.6055555555555556,1.8260802469135804,0.2617277799223032,180,0.8566480817429697,0.0849854943552151,0.0032493819855712,0.0002032700518559,2.7429211816700377e-05,3.183747800152722e-05,0.0006524233953543,0.0011427205565778,0.0010080235342637,0.0115565147072005,0.0067294632348151,0.0337340120757105,3.134767064765757e-05
Alabama,2018,2.419496166484118,0.8125216015577461,0.22383351483519995,913,0.8629945551783832,0.0786733203740776,0.0033079950870881,0.0,0.0,3.094747633001615e-05,0.0002640206574404,0.0007074399667314,0.0007016373149195,0.0108393535845881,0.0079172348429899,0.0345257782806742,3.771723677720719e-05
Alabama,2019,2.271172638436482,1.149160106768006,0.12405130292164582,1228,0.8516683520601006,0.0867113834815198,0.0038120506723923,5.9512038769984566e-05,3.842509589873019e-05,0.000236173760158,0.0006012121711959,0.0010698109016683,0.0013945498218856,0.0122810355282185,0.0081732990568981,0.0339452920354148,8.903375878974069e-06
Alabama,2020,2.212290502793296,1.743212955573291,0.5960510770403092,1253,0.8516683520601006,0.0867113834815198,0.0038120506723923,5.9512038769984566e-05,3.842509589873019e-05,0.000236173760158,0.0006012121711959,0.0010698109016683,0.0013945498218856,0.0122810355282185,0.0081732990568981,0.0339452920354148,8.903375878974069e-06
Alabama,2021,2.196774193548387,1.7414632616487455,0.6114070959708767,1550,0.8050169284277526,0.0763529350919934,0.0019385035380691,0.0,5.6797507189733224e-05,0.0,0.0005624338516836,0.0009406221312641,0.0010066550054765,0.0092644584288424,0.0081552908494136,0.0964019933616181,0.0003033818066963
Alabama,2022,2.1288,1.3944562222222223,0.6167408001945496,1250,0.8054420588627064,0.0792350246688436,0.0026405774487516,0.0002106443548861,6.460940296928886e-05,2.478168881013819e-05,0.000949669717617,0.0008620487464669,0.0007098183723475,0.0115982728933019,0.0096183929694348,0.0886299399088299,1.416096503436468e-05
Alabama,2023,2.0,1.9180357142857143,0.5132142857142857,56,0.800209279189096,0.0831937624936637,0.0026415331990693,9.6888513470366e-06,0.0,0.0001849689802616,0.0004144185962527,0.0013295746462137,0.001095280604549,0.0131297147822364,0.0100922598849404,0.0876700118159946,2.950695637506601e-05
Arizona,2016,2.473372781065089,6.012524654832347,0.9469349112426036,169,0.7649711337636567,0.1098066351413976,0.0171997929796858,0.0006555420534236,0.0003204204022595,0.0002977002903162,0.0010812100330677,0.0036873405206848,0.0083092127046856,0.0183174220157216,0.0118829526656538,0.0634432396473972,2.739778204930732e-05
Arizona,2017,2.2911725955204214,2.1882952715561412,0.3947588924120851,759,0.7654073846054145,0.1100367772143285,0.0166945871069131,0.000633799394067,0.0005223336519611,6.091732417413282e-05,0.0021625650081817,0.003974531374042,0.0081881956482996,0.0199018194190172,0.0095128234207669,0.0628339516873774,7.031414545631288e-05
Arizona,2018,2.3025034770514603,1.1342163112347396,0.2217197501032674,1438,0.7614375543771692,0.1098165241073954,0.0152498625017561,0.0007462390371531,0.0005206978169751,0.0002970466070221,0.002858955466949,0.0032306574778569,0.0080612086111385,0.017412034199105,0.0126331433453054,0.0676286608710553,0.0001074155811182
Arizona,2019,2.228082191780822,1.0105426179604262,0.2857842473012127,1460,0.7563694520238553,0.1064875687488173,0.0145961140513121,0.0002798786480365,0.0002572930210412,0.0016411204912679,0.0018843737982309,0.00320960072274,0.0076901007807301,0.0190610483393459,0.0127132663089591,0.0757918703951263,1.8312670536744375e-05
Arizona,2020,1.906043956043956,1.5946514041514042,0.2988274723319562,1820,0.7563694520238553,0.1064875687488173,0.0145961140513121,0.0002798786480365,0.0002572930210412,0.0016411204912679,0.0018843737982309,0.00320960072274,0.0076901007807301,0.0190610483393459,0.0127132663089591,0.0757918703951263,1.8312670536744375e-05
Arizona,2021,2.0923295454545454,1.921435053661616,0.5824251892034417,2112,0.6584453798933231,0.0888642222509469,0.0084937308394894,7.04228787165598e-05,7.408121007845901e-05,0.0006853274084624,0.0013569360743177,0.0028980081605178,0.0040610526726549,0.0156518658709389,0.0118944547013216,0.2074453750155479,5.9143023684037234e-05
Arizona,2022,2.0611831442463533,1.690081374932469,0.8086487032122898,2468,0.661083238047716,0.0982956731072985,0.0073336865586596,0.0003170799726235,6.171157947261284e-05,0.0004537270414557,0.0021881162893003,0.002622742127586,0.0050189145991083,0.0172113595149117,0.0137320018913129,0.1915054304720612,0.0001763187984931
Arizona,2023,2.033980582524272,2.0895482740021576,2.1260388349514563,412,0.670512794224715,0.1029495898622342,0.0106910466852094,0.0001117651764546,0.000117541154566,0.0009983778165474,0.0016152522788399,0.0021804317370358,0.0055201022810203,0.016623842602286,0.0136653866136508,0.1748426118164382,0.0001712577510016
Arkansas,2016,2.0,6.0,0.6809999999999999,1,0.8310220348968239,0.1016879055184111,0.0030982496233942,0.0001146621223563,0.0,6.958804667143767e-05,0.0010904763222717,0.0020204256732445,0.0013490591775167,0.0201299240462286,0.0073083264470162,0.0320334338933325,7.591423273247745e-05
